pagina_carpeta,archivo,uso_recomendado,formato,medidas_px
anime,anime-detalle-linea-color.webp,Detalle visual / bloque de apoyo,webp,1200x1500
anime,anime-hero-tatuaje-manga-original.webp,Hero / cabecera de página,webp,1200x900
black-grey,black-grey-detalle-proceso.webp,Detalle visual / bloque de apoyo,webp,1200x1500
black-grey,black-grey-hero-sombreado-gris.webp,Hero / cabecera de página,webp,1200x900
blackout,blackout-detalle-piel-negro.webp,Detalle visual / bloque de apoyo,webp,1200x1500
blackout,blackout-hero-bloque-negro-brazo.webp,Hero / cabecera de página,webp,1200x1500
blackwork,blackwork-detalle-lineas-limpias.webp,Detalle visual / bloque de apoyo,webp,1200x1200
blackwork,blackwork-hero-tinta-negra-solida.webp,Hero / cabecera de página,webp,1200x1500
comic,comic-detalle-tinta-marcada.webp,Detalle visual / bloque de apoyo,webp,1200x900
comic,comic-hero-color-vineta-pop.webp,Hero / cabecera de página,webp,1200x1200
contacto,contacto-ambiente-calle-urbana.webp,Ubicación / contacto,webp,1200x900
contacto,contacto-exterior-entrada-clientes.webp,Ubicación / contacto,webp,1200x900
contacto,contacto-fachada-estudio-lavapies.webp,Ubicación / contacto,webp,900x1400
contacto,contacto-interior-recepcion.webp,Imagen de apoyo para la página,webp,1600x900
cover,cover-detalle-antes-despues.webp,Detalle visual / bloque de apoyo,webp,1200x900
cover,cover-hero-cover-up-brazo.webp,Hero / cabecera de página,webp,1200x1500
equipo,equipo-artista-trabajando-realismo.webp,Proceso / artista trabajando,webp,1600x900
equipo,equipo-consulta-diseno-cliente.webp,Consulta / atención al cliente,webp,1600x900
equipo,equipo-manos-maquina-tatuaje.webp,Imagen de apoyo para la página,webp,1200x1500
equipo,equipo-retrato-grupo-artistas.webp,Retrato editorial,webp,1200x1500
fine-line,fine-line-detalle-aves.webp,Detalle visual / bloque de apoyo,webp,1200x1500
fine-line,fine-line-hero-floral-minimal.webp,Hero / cabecera de página,webp,1200x1500
geometria,geometria-detalle-tattoo-geometrico.webp,Detalle visual / bloque de apoyo,webp,1200x1200
geometria,geometria-hero-lineas-simetria.webp,Hero / cabecera de página,webp,1200x900
index,home-detalle-tatuaje-brazo-realismo.webp,Detalle visual / bloque de apoyo,webp,1200x1500
index,home-equipo-artistas-inklab.webp,Imagen de apoyo para la página,webp,1200x900
index,home-hero-estudio-tatuaje-lavapies.webp,Hero / cabecera de página,webp,1920x900
index,home-recepcion-estudio-contacto.webp,Imagen de apoyo para la página,webp,1600x900
iria,iria-artista-trabajando.webp,Proceso / artista trabajando,webp,1600x900
iria,iria-retrato-editorial.webp,Retrato editorial,webp,1200x1500
iria,iria-trabajo-asociado.webp,Imagen de apoyo para la página,webp,1200x1500
lettering,lettering-detalle-tipografia.webp,Detalle visual / bloque de apoyo,webp,1200x1200
lettering,lettering-hero-frase-piel.webp,Hero / cabecera de página,webp,1200x900
micro,micro-closeup-piel-minimal.webp,Detalle visual / bloque de apoyo,webp,1200x1200
micro,micro-hero-tatuaje-delicado.webp,Hero / cabecera de página,webp,1200x1500
microrealismo-negro,microrealismo-negro-detalle-negro.webp,Detalle visual / bloque de apoyo,webp,1200x1200
microrealismo-negro,microrealismo-negro-hero-mini-realismo.webp,Hero / cabecera de página,webp,1200x1500
neo-tradicional,neo-tradicional-detalle-pieza-grande.webp,Detalle visual / bloque de apoyo,webp,1200x900
neo-tradicional,neo-tradicional-hero-color-premium.webp,Hero / cabecera de página,webp,1200x1500
neo-tradicional-negro,neo-tradicional-negro-detalle.webp,Detalle visual / bloque de apoyo,webp,1200x1200
neo-tradicional-negro,neo-tradicional-negro-hero-sombras.webp,Hero / cabecera de página,webp,1200x1500
ornamental,ornamental-detalle-blackwork.webp,Detalle visual / bloque de apoyo,webp,1200x1200
ornamental,ornamental-hero-patron-espalda.webp,Hero / cabecera de página,webp,1200x1500
piercing,piercing-hero-oreja-joyeria-closeup.webp,Hero / cabecera de página,webp,1200x1500
piercing,piercing-material-esterilizado-guantes.webp,"Material, higiene y confianza",webp,1200x1200
piercing,piercing-oreja-real.webp,Imagen de apoyo para la página,webp,1200x1500
piercing-avanzado-surface,piercing-avanzado-cabina.webp,Imagen de apoyo para la página,webp,1600x900
piercing-avanzado-surface,piercing-avanzado-surface-material.webp,"Material, higiene y confianza",webp,1200x1500
piercing-basico-labio-lengua-frenillo,piercing-labio-lengua-consulta.webp,Consulta / atención al cliente,webp,1600x900
piercing-basico-labio-lengua-frenillo,piercing-labio-lengua-material.webp,"Material, higiene y confianza",webp,1200x1200
piercing-basico-nariz-ceja-pezon-ombligo,piercing-basico-consulta-privada.webp,Consulta / atención al cliente,webp,1600x900
piercing-basico-nariz-ceja-pezon-ombligo,piercing-basico-higiene-camilla.webp,"Material, higiene y confianza",webp,1200x1500
piercing-basico-nariz-ceja-pezon-ombligo,piercing-basico-zonas-material.webp,"Material, higiene y confianza",webp,1200x1200
piercing-basico-oreja,piercing-basico-oreja-closeup.webp,Detalle visual / bloque de apoyo,webp,1200x1500
piercing-basico-oreja,piercing-basico-oreja-resultado.webp,Imagen de apoyo para la página,webp,1200x1500
piercing-genital-femenino,piercing-genital-femenino-consulta-privada.webp,Consulta / atención al cliente,webp,1600x900
piercing-genital-femenino,piercing-genital-femenino-material-clinico.webp,"Material, higiene y confianza",webp,1200x1200
piercing-genital-masculino,piercing-genital-masculino-consulta-privada.webp,Consulta / atención al cliente,webp,1600x900
piercing-genital-masculino,piercing-genital-masculino-material-clinico.webp,"Material, higiene y confianza",webp,1200x1200
realismo,realismo-detalle-tatuaje-buda.webp,Detalle visual / bloque de apoyo,webp,1200x1500
realismo,realismo-hero-sombreado-brazo.webp,Hero / cabecera de página,webp,1200x1500
realismo-bn,realismo-bn-detalle-brazo.webp,Detalle visual / bloque de apoyo,webp,1200x1500
realismo-bn,realismo-bn-hero-retrato-black-grey.webp,Hero / cabecera de página,webp,1200x900
realismo-color,realismo-color-detalle-saturado.webp,Detalle visual / bloque de apoyo,webp,1200x1500
realismo-color,realismo-color-hero-pieza-color.webp,Hero / cabecera de página,webp,1600x900
studio,studio-cabina-camilla-material.webp,"Material, higiene y confianza",webp,1600x900
studio,studio-fachada-urbana-lavapies.webp,Ubicación / contacto,webp,900x1400
studio,studio-interior-premium-oscuro.webp,Imagen de apoyo para la página,webp,1920x900
studio,studio-material-higiene-esterilizado.webp,"Material, higiene y confianza",webp,1200x1500
tattoos,tattoos-catalogo-estilos-color.webp,Imagen de apoyo para la página,webp,1200x900
tattoos,tattoos-consulta-disenos-flash.webp,Consulta / atención al cliente,webp,1600x900
tattoos,tattoos-detalle-brazo-color.webp,Detalle visual / bloque de apoyo,webp,1200x1500
tattoos,tattoos-hero-artista-trabajando.webp,Hero / cabecera de página,webp,1600x900
tatuajes,tatuajes-artista-disenando.webp,Imagen de apoyo para la página,webp,1200x900
tatuajes,tatuajes-detalle-maquina-piel.webp,Detalle visual / bloque de apoyo,webp,1200x1500
tatuajes,tatuajes-estilos-premium.webp,Imagen de apoyo para la página,webp,1200x900
tatuajes,tatuajes-hero-estudio-tattoo.webp,Hero / cabecera de página,webp,1600x900
tradicional,tradicional-detalle-old-school.webp,Detalle visual / bloque de apoyo,webp,1200x1500
tradicional,tradicional-hero-color-planos.webp,Hero / cabecera de página,webp,1200x1200
tratamientos,tratamientos-cabina-aftercare.webp,Imagen de apoyo para la página,webp,1600x900
tratamientos,tratamientos-hero-micropigmentacion.webp,Hero / cabecera de página,webp,1200x1500
tratamientos,tratamientos-limpieza-material.webp,"Material, higiene y confianza",webp,1200x1200
tratamientos,tratamientos-retrato-profesional.webp,Retrato editorial,webp,1200x1200
